{'winner_team_id': None, 'pos': None, 'damage': None, 'source': None, 'event': u'noaction', 'bot_id': 3}
{'winner_team_id': None, 'pos': None, 'damage': None, 'source': None, 'event': u'noaction', 'bot_id': 4}
{'winner_team_id': None, 'pos': None, 'damage': None, 'source': None, 'event': u'noaction', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=4, y=10), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-5, y=-6), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=8, y=-11), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=-4, y=-5), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=7, y=-9), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=5, y=8), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-4, y=-7), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=7, y=-10), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=4, y=8), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-3, y=-7), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=8, y=-12), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=4, y=7), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-4, y=-6), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=7, y=-13), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=4, y=8), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-4, y=-4), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=6, y=-14), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=-6, y=-2), 'damage': None, 'source': 4, 'event': u'see', 'bot_id': 0}
{'winner_team_id': None, 'pos': Pos(x=5, y=7), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-5, y=-2), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=4, y=-12), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=-7, y=-2), 'damage': None, 'source': 4, 'event': u'see', 'bot_id': 0}
{'winner_team_id': None, 'pos': Pos(x=5, y=8), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-6, y=-2), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=6, y=-14), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=-6, y=-1), 'damage': None, 'source': 4, 'event': u'see', 'bot_id': 0}
{'winner_team_id': None, 'pos': Pos(x=4, y=8), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-5, y=-1), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=7, y=-14), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=-5, y=0), 'damage': None, 'source': 4, 'event': u'see', 'bot_id': 0}
{'winner_team_id': None, 'pos': Pos(x=-3, y=-3), 'damage': None, 'source': 4, 'event': u'see', 'bot_id': 2}
{'winner_team_id': None, 'pos': Pos(x=6, y=6), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
{'winner_team_id': None, 'pos': Pos(x=-6, y=-1), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 4}
{'winner_team_id': None, 'pos': Pos(x=6, y=-13), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 5}
{'winner_team_id': None, 'pos': Pos(x=-5, y=0), 'damage': None, 'source': 4, 'event': u'see', 'bot_id': 0}
{'winner_team_id': None, 'pos': Pos(x=4, y=8), 'damage': None, 'source': None, 'event': u'move', 'bot_id': 3}
